edition_info,url
Edição  nº 49 de 24 de junho de 1961,https://goiania.go.gov.br/Download/legislacao/diariooficial/1961/do_19610624_000000049.pdf
Edição  nº 48 de 17 de junho de 1961,https://goiania.go.gov.br/Download/legislacao/diariooficial/1961/do_19610617_000000048.pdf
Edição  nº 47 de 09 de junho de 1961,https://goiania.go.gov.br/Download/legislacao/diariooficial/1961/do_19610609_000000047.pdf
Edição  nº 46 de 31 de maio de 1961,https://goiania.go.gov.br/Download/legislacao/diariooficial/1961/do_19610531_000000046.pdf
Edição  nº 45 de 24 de maio de 1961,https://goiania.go.gov.br/Download/legislacao/diariooficial/1961/do_19610524_000000045.pdf
Edição  nº 44 de 22 de maio de 1961,https://goiania.go.gov.br/Download/legislacao/diariooficial/1961/do_19610522_000000044.pdf
Edição  nº 43 de 15 de maio de 1961,https://goiania.go.gov.br/Download/legislacao/diariooficial/1961/do_19610515_000000043.pdf
Edição  nº 42 de 10 de maio de 1961,https://goiania.go.gov.br/Download/legislacao/diariooficial/1961/do_19610510_000000042.pdf
Edição  nº 41 de 27 de abril de 1961,https://goiania.go.gov.br/Download/legislacao/diariooficial/1961/do_19610427_000000041.pdf
Edição  nº 40 de 20 de abril de 1961,https://goiania.go.gov.br/Download/legislacao/diariooficial/1961/do_19610420_000000040.pdf
Edição  nº 39 de 15 de abril de 1961,https://goiania.go.gov.br/Download/legislacao/diariooficial/1961/do_19610415_000000039.pdf
Edição  nº 38 de 10 de abril de 1961,https://goiania.go.gov.br/Download/legislacao/diariooficial/1961/do_19610410_000000038.pdf
Edição  nº 155 de 31 de dezembro de 1968,https://goiania.go.gov.br/Download/legislacao/diariooficial/1968/do_19681231_000000155.pdf
Edição  nº 154 de 30 de dezembro de 1968,https://goiania.go.gov.br/Download/legislacao/diariooficial/1968/do_19681230_000000154.pdf
Edição  nº 153 de 27 de dezembro de 1968,https://goiania.go.gov.br/Download/legislacao/diariooficial/1968/do_19681227_000000153.pdf
Edição  nº 152 de 17 de dezembro de 1968,https://goiania.go.gov.br/Download/legislacao/diariooficial/1968/do_19681217_000000152.pdf
Edição  nº 151 de 10 de dezembro de 1968,https://goiania.go.gov.br/Download/legislacao/diariooficial/1968/do_19681210_000000151.pdf
Edição  nº 150 de 04 de dezembro de 1968,https://goiania.go.gov.br/Download/legislacao/diariooficial/1968/do_19681204_000000150.pdf
Edição  nº 146 de 29 de novembro de 1968,https://goiania.go.gov.br/Download/legislacao/diariooficial/1968/do_19681129_000000146.pdf
Edição  nº 149 de 23 de novembro de 1968,https://goiania.go.gov.br/Download/legislacao/diariooficial/1968/do_19681123_000000149.pdf
Edição  nº 148 de 20 de novembro de 1968,https://goiania.go.gov.br/Download/legislacao/diariooficial/1968/do_19681120_000000148.pdf
Edição  nº 147 de 01 de novembro de 1968,https://goiania.go.gov.br/Download/legislacao/diariooficial/1968/do_19681101_000000147.pdf
Edição  nº 145 de 22 de outubro de 1968,https://goiania.go.gov.br/Download/legislacao/diariooficial/1968/do_19681022_000000145.pdf
Edição  nº 144 de 01 de outubro de 1968,https://goiania.go.gov.br/Download/legislacao/diariooficial/1968/do_19681001_000000144.pdf
Edição  nº 266 de 31 de dezembro de 1971 - Suplemento,https://goiania.go.gov.br/Download/legislacao/diariooficial/1971/do_19711231_000000266_suplemento.pdf
Edição  nº 266 de 31 de dezembro de 1971,https://goiania.go.gov.br/Download/legislacao/diariooficial/1971/do_19711231_000000266.pdf
Edição  nº 265 de 28 de dezembro de 1971,https://goiania.go.gov.br/Download/legislacao/diariooficial/1971/do_19711228_000000265.pdf
Edição  nº 264 de 27 de dezembro de 1971,https://goiania.go.gov.br/Download/legislacao/diariooficial/1971/do_19711227_000000264.pdf
Edição  nº 263 de 09 de dezembro de 1971,https://goiania.go.gov.br/Download/legislacao/diariooficial/1971/do_19711209_000000263.pdf
Edição  nº 262 de 29 de novembro de 1971,https://goiania.go.gov.br/Download/legislacao/diariooficial/1971/do_19711129_000000262.pdf
Edição  nº 261 de 23 de novembro de 1971,https://goiania.go.gov.br/Download/legislacao/diariooficial/1971/do_19711123_000000261.pdf
Edição  nº 260 de 05 de novembro de 1971,https://goiania.go.gov.br/Download/legislacao/diariooficial/1971/do_19711105_000000260.pdf
Edição  nº 259 de 26 de outubro de 1971,https://goiania.go.gov.br/Download/legislacao/diariooficial/1971/do_19711026_000000259.pdf
Edição  nº 258 de 25 de outubro de 1971,https://goiania.go.gov.br/Download/legislacao/diariooficial/1971/do_19711025_000000258.pdf
Edição  nº 440 de 31 de dezembro de 1975 - Suplemento,https://goiania.go.gov.br/Download/legislacao/diariooficial/1975/do_19751231_000000440_suplemento.pdf
Edição  nº 440 de 31 de dezembro de 1975,https://goiania.go.gov.br/Download/legislacao/diariooficial/1975/do_19751231_000000440.pdf
Edição  nº 439 de 29 de dezembro de 1975,https://goiania.go.gov.br/Download/legislacao/diariooficial/1975/do_19751229_000000439.pdf
Edição  nº 438 de 22 de dezembro de 1975,https://goiania.go.gov.br/Download/legislacao/diariooficial/1975/do_19751222_000000438.pdf
Edição  nº 437 de 15 de dezembro de 1975,https://goiania.go.gov.br/Download/legislacao/diariooficial/1975/do_19751215_000000437.pdf
